"5","Kamren","True","suscipit qui totam"
"5","Kamren","False","voluptates eum voluptas et dicta"
"5","Kamren","True","quidem at rerum quis ex aut sit quam"
"5","Kamren","False","sunt veritatis ut voluptate"
"5","Kamren","True","et quia ad iste a"
"5","Kamren","True","incidunt ut saepe autem"
"5","Kamren","True","laudantium quae eligendi consequatur quia et vero autem"
"5","Kamren","False","vitae aut excepturi laboriosam sint aliquam et et accusantium"
"5","Kamren","True","sequi ut omnis et"
"5","Kamren","True","molestiae nisi accusantium tenetur dolorem et"
"5","Kamren","True","nulla quis consequatur saepe qui id expedita"
"5","Kamren","True","in omnis laboriosam"
"5","Kamren","True","odio iure consequatur molestiae quibusdam necessitatibus quia sint"
"5","Kamren","False","facilis modi saepe mollitia"
"5","Kamren","True","vel nihil et molestiae iusto assumenda nemo quo ut"
"5","Kamren","False","nobis suscipit ducimus enim asperiores voluptas"
"5","Kamren","False","dolorum laboriosam eos qui iure aliquam"
"5","Kamren","True","debitis accusantium ut quo facilis nihil quis sapiente necessitatibus"
"5","Kamren","False","neque voluptates ratione"
"5","Kamren","False","excepturi a et neque qui expedita vel voluptate"
